formula,h,log10_h,abs_error,log10_abs_error
Backward O(h),1e-20,-20.0,0.8775825618903728,-0.0567120150482362
Backward O(h),1.2589254117941713e-20,-19.9,0.8775825618903728,-0.0567120150482362
Backward O(h),1.5848931924611108e-20,-19.8,0.8775825618903728,-0.0567120150482362
Backward O(h),1.9952623149688828e-20,-19.7,0.8775825618903728,-0.0567120150482362
Backward O(h),2.511886431509572e-20,-19.6,0.8775825618903728,-0.0567120150482362
Backward O(h),3.162277660168379e-20,-19.5,0.8775825618903728,-0.0567120150482362
Backward O(h),3.9810717055349855e-20,-19.4,0.8775825618903728,-0.0567120150482362
Backward O(h),5.011872336272715e-20,-19.3,0.8775825618903728,-0.0567120150482362
Backward O(h),6.309573444801943e-20,-19.2,0.8775825618903728,-0.0567120150482362
Backward O(h),7.94328234724279e-20,-19.1,0.8775825618903728,-0.0567120150482362
Backward O(h),1e-19,-19.0,0.8775825618903728,-0.0567120150482362
Backward O(h),1.2589254117941713e-19,-18.9,0.8775825618903728,-0.0567120150482362
Backward O(h),1.584893192461111e-19,-18.8,0.8775825618903728,-0.0567120150482362
Backward O(h),1.995262314968883e-19,-18.7,0.8775825618903728,-0.0567120150482362
Backward O(h),2.5118864315095717e-19,-18.6,0.8775825618903728,-0.0567120150482362
Backward O(h),3.162277660168379e-19,-18.5,0.8775825618903728,-0.0567120150482362
Backward O(h),3.9810717055349853e-19,-18.4,0.8775825618903728,-0.0567120150482362
Backward O(h),5.011872336272715e-19,-18.3,0.8775825618903728,-0.0567120150482362
Backward O(h),6.309573444801943e-19,-18.2,0.8775825618903728,-0.0567120150482362
Backward O(h),7.943282347242789e-19,-18.1,0.8775825618903728,-0.0567120150482362
Backward O(h),1e-18,-18.0,0.8775825618903728,-0.0567120150482362
Backward O(h),1.2589254117941713e-18,-17.9,0.8775825618903728,-0.0567120150482362
Backward O(h),1.5848931924611109e-18,-17.8,0.8775825618903728,-0.0567120150482362
Backward O(h),1.995262314968883e-18,-17.7,0.8775825618903728,-0.0567120150482362
Backward O(h),2.5118864315095718e-18,-17.6,0.8775825618903728,-0.0567120150482362
